Country,incomeLevel,GDP per capita (current US$),School enrollment secondary female (% gross),School enrollment secondary male (% gross),Continent,Gini Index,Life Expectancy,Internet Usage %,Female Labor Force %,Political_Orientation
Namibia,UMC,4800.2,85.2,75.1,Africa,59.1,64.2,55.2,58.1,Left
Nepal,LMC,1300.2,85.2,75.1,Asia,32.8,71.5,55.2,80.1,Left
Nicaragua,LMC,2100.2,75.2,68.1,North America,46.2,74.8,55.2,48.1,Left
Niger,LIC,600.2,25.1,30.2,Africa,37.3,63.2,15.2,65.1,Right
Oman,HIC,21000.5,98.2,95.1,Asia,30.2,78.5,95.2,30.1,Right
Panama,HIC,17000.2,85.2,80.1,North America,49.8,78.8,75.2,55.1,Right
Paraguay,UMC,5800.2,85.2,82.1,South America,45.7,74.5,75.2,60.1,Right
Rwanda,LIC,950.2,40.5,38.2,Africa,43.7,67.1,30.1,82.1,Right
Senegal,LMC,1600.2,45.2,48.1,Africa,38.3,68.2,50.1,45.1,Left
Sierra Leone,LIC,500.2,45.2,52.1,Africa,35.7,60.2,25.1,65.1,Left
Suriname,UMC,6500.2,85.2,75.1,South America,39.2,72.1,65.2,45.1,Left
Tajikistan,LMC,1100.2,95.2,98.1,Asia,34.0,71.5,45.2,55.1,Right
Tanzania,LMC,1200.2,32.1,35.2,Africa,40.5,66.2,30.1,80.1,Left
Togo,LIC,980.2,45.2,55.1,Africa,42.4,61.8,35.2,75.1,Right
Trinidad and Tobago,HIC,16500.2,95.2,90.1,North America,40.3,73.8,80.1,55.1,Left
Uganda,LIC,950.2,35.2,32.1,Africa,42.7,63.8,35.2,70.1,Right
Yemen,LIC,650.2,35.2,45.1,Asia,36.7,66.2,28.1,6.2,Right
Zambia,LMC,1300.2,55.2,60.1,Africa,57.1,64.5,45.2,70.1,Center
Zimbabwe,LMC,1700.2,52.1,55.2,Africa,50.3,61.8,40.1,75.1,Left
